habit`description`dayDuration`pod`default`color`period`icon`image`timeDuration
Reading books`Reading new books of any kind is the best resource for learning helpful tips or going through new experiences.`۳۰`2`48600000`55FFE8`2`open.png`book.png`3600000
Meditation`It’s good to spend time with yourself once in a while and maintain your inner peace.`۲۰`4|1|0`66600000`CB9FFF`1`man.png`yoga.png`4500000
Exercising`Sports is one of the most important habits of a healthy lifestyle and when you reach it, it’s difficult to let it go.`۲۰`2|3`40500000`FF4D4D`2`person.png`basketball.png`5400000
Dream tomorrow`Plan with yourself for a better and more successful tomorrow and dream about them, it will bring you closer to your future.`۱۵`4|1`70200000`FF9143`7`bullseye.png`version.png`2700000
Healthy meals`I will be reminding you of healthy meals in your daily plans so you would remember to eat healthy all day.`۳۰`1`16200000`EEDE6C`1`green.png`healthy.png`1800000
Write diaries`It’s good to write down your ups and downs of life in order to learn your lessons and maybe later remind yourself of the good old days.`۳۰`4`66600000`4DB6FF`7`notebook.png`tree.png`2700000
Friends`If you have a tight schedule, I will help you to free some of it in the week so you can spend time with your friends.`۲۰`4|3`12600000`1DFFAD`7`left.png`conversation.png`9000000
Cleaning`Try to have a neat work and life environment so you can easily focus on your work.`۲۰`3|2`48600000`8F95E5`7`bathtub.png`clean.png`4500000
Train your Brain`I will be reminding you that your brain, like any other muscle in your body, needs exercise and development; don't forget to read informative contents and play mind training games.`۳۰`3|1`48600000`FF86E1`2`brain.png`game.png`3600000
Watch movies`Maybe it seems like a hobby, but it’s actually a good habit that you can connect with it effectively.`۱۵`4|3`59400000`FFBA4A`7`popcorn.png`movie.png`5400000
My favorites`Make time for yourself and do things that you love because they are a big part of you.`۳۰`3|4`52200000`E9A768`7`tent.png`camping.png`7200000
Foreign language`Learning a new language can make you familiar with a whole new culture and gain beneficial experiences.`۳۰`2|3`0`93C6FF`2`input.png`world.png`4500000
